digrp_pavadinimas,data2,dinst_id4,apskritis1,savivaldybe,data1,dinst_id5
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,3
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2014-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,17
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,13
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,8
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,1
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,3
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2015-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,17
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,13
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,29
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,1
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,4
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2016-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,17
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,13
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,29
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,1
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,4
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus m. sav.,2017-09-01,2
Aukštoji mokykla,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,-
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,40
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,7
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus r. sav.,2003-09-01,-
Aukštoji mokykla,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,-
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,40
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,-
Mokslinių tyrimų institutas,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,7
Profesinio mokymo įstaiga,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,2
Švietimo pagalbos įstaiga,,,Alytaus apskr.,Alytaus r. sav.,2004-09-01,-
Aukštoji mokykla,,,Alytaus apskr.,Alytaus r. sav.,2005-09-01,-
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2005-09-01,20
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus r. sav.,2005-09-01,-
